Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 0	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/14/2014	05:00:00.656	$GPGGA,050001,2427.4014,N,08102.9017,W,1,8,1.8,28,M,,M,,*59
06/14/2014	05:00:01.564	$GPGGA,050002,2427.4011,N,08102.9025,W,1,8,1.5,28,M,,M,,*53
06/14/2014	05:00:02.527	$GPGGA,050003,2427.4008,N,08102.9032,W,1,10,1.5,28,M,,M,,*65
06/14/2014	05:00:03.622	$GPGGA,050004,2427.4004,N,08102.9039,W,1,10,1.6,29,M,,M,,*67
06/14/2014	05:00:04.508	$GPGGA,050005,2427.4003,N,08102.9043,W,1,8,1.7,29,M,,M,,*54
06/14/2014	05:00:05.611	$GPGGA,050006,2427.4000,N,08102.9053,W,1,8,2.9,29,M,,M,,*58
06/14/2014	05:00:06.603	$GPGGA,050007,2427.3996,N,08102.9057,W,1,8,1.8,29,M,,M,,*5E
06/14/2014	05:00:07.530	$GPGGA,050008,2427.3994,N,08102.9061,W,1,8,2.8,29,M,,M,,*55
06/14/2014	05:00:08.508	$GPGGA,050009,2427.3995,N,08102.9068,W,1,7,2.9,29,M,,M,,*52
06/14/2014	05:00:09.525	$GPGGA,050010,2427.3992,N,08102.9072,W,1,7,1.8,29,M,,M,,*54
06/14/2014	05:00:10.614	$GPGGA,050011,2427.3990,N,08102.9075,W,1,7,2.9,29,M,,M,,*52
06/14/2014	05:00:11.627	$GPGGA,050012,2427.3988,N,08102.9083,W,1,7,2.8,29,M,,M,,*50
06/14/2014	05:00:12.670	$GPGGA,050013,2427.3986,N,08102.9093,W,1,10,1.5,29,M,,M,,*66
06/14/2014	05:00:13.611	$GPGGA,050014,2427.3982,N,08102.9101,W,1,10,1.5,29,M,,M,,*6F
06/14/2014	05:00:14.641	$GPGGA,050015,2427.3978,N,08102.9105,W,1,8,1.8,29,M,,M,,*5B
06/14/2014	05:00:15.640	$GPGGA,050016,2427.3978,N,08102.9111,W,1,8,2.8,29,M,,M,,*5E
06/14/2014	05:00:16.631	$GPGGA,050017,2427.3974,N,08102.9115,W,1,8,2.8,29,M,,M,,*57
06/14/2014	05:00:17.612	$GPGGA,050018,2427.3971,N,08102.9120,W,1,8,1.8,29,M,,M,,*58
06/14/2014	05:00:18.615	$GPGGA,050019,2427.3970,N,08102.9126,W,1,10,1.5,29,M,,M,,*6A
06/14/2014	05:00:19.628	$GPGGA,050020,2427.3969,N,08102.9131,W,1,10,2.9,29,M,,M,,*61
06/14/2014	05:00:20.641	$GPGGA,050021,2427.3965,N,08102.9137,W,1,8,2.8,29,M,,M,,*52
06/14/2014	05:00:21.614	$GPGGA,050022,2427.3961,N,08102.9142,W,1,8,2.8,28,M,,M,,*56
06/14/2014	05:00:22.637	$GPGGA,050023,2427.3960,N,08102.9149,W,1,8,2.8,28,M,,M,,*5D
06/14/2014	05:00:23.649	$GPGGA,050024,2427.3958,N,08102.9155,W,1,8,1.6,28,M,,M,,*51
06/14/2014	05:00:24.642	$GPGGA,050025,2427.3956,N,08102.9159,W,1,8,2.8,28,M,,M,,*5F
06/14/2014	05:00:25.615	$GPGGA,050026,2427.3953,N,08102.9165,W,1,8,2.8,28,M,,M,,*56
06/14/2014	05:00:26.618	$GPGGA,050027,2427.3951,N,08102.9171,W,1,11,1.4,28,M,,M,,*67
06/14/2014	05:00:27.640	$GPGGA,050028,2427.3950,N,08102.9177,W,1,11,1.5,28,M,,M,,*6E
06/14/2014	05:00:28.613	$GPGGA,050029,2427.3949,N,08102.9184,W,1,9,1.6,28,M,,M,,*51
06/14/2014	05:00:29.626	$GPGGA,050030,2427.3945,N,08102.9191,W,1,9,1.6,28,M,,M,,*51
06/14/2014	05:00:30.638	$GPGGA,050031,2427.3941,N,08102.9198,W,1,10,1.4,28,M,,M,,*67
06/14/2014	05:00:31.641	$GPGGA,050032,2427.3939,N,08102.9205,W,1,10,1.4,27,M,,M,,*63
06/14/2014	05:00:32.623	$GPGGA,050033,2427.3938,N,08102.9209,W,1,9,1.7,27,M,,M,,*54
06/14/2014	05:00:33.636	$GPGGA,050034,2427.3933,N,08102.9216,W,1,9,2.8,27,M,,M,,*5A
06/14/2014	05:00:34.639	$GPGGA,050035,2427.3931,N,08102.9220,W,1,9,1.6,27,M,,M,,*51
06/14/2014	05:00:35.641	$GPGGA,050036,2427.3928,N,08102.9227,W,1,9,1.7,27,M,,M,,*5C
06/14/2014	05:00:36.664	$GPGGA,050037,2427.3924,N,08102.9232,W,1,9,1.6,27,M,,M,,*54
06/14/2014	05:00:37.637	$GPGGA,050038,2427.3921,N,08102.9239,W,1,9,1.6,27,M,,M,,*55
06/14/2014	05:00:38.650	$GPGGA,050039,2427.3918,N,08102.9246,W,1,9,1.7,27,M,,M,,*57
06/14/2014	05:00:39.653	$GPGGA,050040,2427.3916,N,08102.9250,W,1,9,1.4,27,M,,M,,*53
06/14/2014	05:00:40.735	$GPGGA,050041,2427.3914,N,08102.9256,W,1,8,1.7,27,M,,M,,*54
06/14/2014	05:00:41.638	$GPGGA,050042,2427.3910,N,08102.9261,W,1,8,1.7,27,M,,M,,*57
06/14/2014	05:00:42.640	$GPGGA,050043,2427.3909,N,08102.9268,W,1,11,1.4,27,M,,M,,*6C
06/14/2014	05:00:43.653	$GPGGA,050044,2427.3906,N,08102.9275,W,1,11,1.4,27,M,,M,,*68
06/14/2014	05:00:44.630	$GPGGA,050045,2427.3902,N,08102.9281,W,1,8,1.8,27,M,,M,,*52
06/14/2014	05:00:45.732	$GPGGA,050046,2427.3898,N,08102.9285,W,1,8,1.4,27,M,,M,,*5B
06/14/2014	05:00:46.751	$GPGGA,050047,2427.3898,N,08102.9292,W,1,9,1.5,28,M,,M,,*53
06/14/2014	05:00:47.639	$GPGGA,050048,2427.3895,N,08102.9296,W,1,9,1.5,28,M,,M,,*55
06/14/2014	05:00:48.471	$GPGGA,050049,2427.3889,N,08102.9301,W,1,8,1.7,28,M,,M,,*55
06/14/2014	05:00:49.564	$GPGGA,050050,2427.3887,N,08102.9308,W,1,8,1.7,28,M,,M,,*5A
06/14/2014	05:00:50.587	$GPGGA,050051,2427.3884,N,08102.9314,W,1,10,1.4,28,M,,M,,*6F
06/14/2014	05:00:51.489	$GPGGA,050052,2427.3880,N,08102.9321,W,1,10,1.6,28,M,,M,,*6C
06/14/2014	05:00:52.574	$GPGGA,050053,2427.3877,N,08102.9326,W,1,10,1.5,28,M,,M,,*61
06/14/2014	05:00:53.485	$GPGGA,050054,2427.3874,N,08102.9332,W,1,10,1.4,28,M,,M,,*61
06/14/2014	05:00:54.567	$GPGGA,050055,2427.3871,N,08102.9336,W,1,8,1.7,28,M,,M,,*5B
06/14/2014	05:00:55.590	$GPGGA,050056,2427.3868,N,08102.9343,W,1,8,1.7,28,M,,M,,*52
06/14/2014	05:00:56.574	$GPGGA,050057,2427.3866,N,08102.9351,W,1,9,1.6,28,M,,M,,*5E
06/14/2014	05:00:57.576	$GPGGA,050058,2427.3862,N,08102.9357,W,1,9,1.4,28,M,,M,,*51
06/14/2014	05:00:58.598	$GPGGA,050059,2427.3858,N,08102.9364,W,1,10,1.4,28,M,,M,,*61
06/14/2014	05:00:59.601	$GPGGA,050100,2427.3855,N,08102.9369,W,1,10,1.4,28,M,,M,,*6C
06/14/2014	05:01:00.594	$GPGGA,050101,2427.3852,N,08102.9375,W,1,8,2.8,28,M,,M,,*51
06/14/2014	05:01:01.566	$GPGGA,050102,2427.3848,N,08102.9382,W,1,8,1.5,28,M,,M,,*5F
06/14/2014	05:01:02.569	$GPGGA,050103,2427.3842,N,08102.9386,W,1,8,1.7,28,M,,M,,*52
06/14/2014	05:01:03.582	$GPGGA,050104,2427.3839,N,08102.9394,W,1,8,1.4,28,M,,M,,*59
06/14/2014	05:01:04.594	$GPGGA,050105,2427.3837,N,08102.9400,W,1,9,1.5,28,M,,M,,*5C
06/14/2014	05:01:05.586	$GPGGA,050106,2427.3833,N,08102.9405,W,1,9,2.8,29,M,,M,,*51
06/14/2014	05:01:06.589	$GPGGA,050107,2427.3831,N,08102.9412,W,1,9,1.7,29,M,,M,,*58
06/14/2014	05:01:07.602	$GPGGA,050108,2427.3828,N,08102.9422,W,1,9,1.8,29,M,,M,,*53
06/14/2014	05:01:08.605	$GPGGA,050109,2427.3826,N,08102.9426,W,1,9,1.8,29,M,,M,,*58
06/14/2014	05:01:09.587	$GPGGA,050110,2427.3826,N,08102.9429,W,1,9,1.5,29,M,,M,,*52
06/14/2014	05:01:10.610	$GPGGA,050111,2427.3823,N,08102.9434,W,1,9,1.6,29,M,,M,,*59
06/14/2014	05:01:11.602	$GPGGA,050112,2427.3819,N,08102.9438,W,1,9,2.9,29,M,,M,,*53
06/14/2014	05:01:12.595	$GPGGA,050113,2427.3817,N,08102.9445,W,1,9,1.5,29,M,,M,,*59
06/14/2014	05:01:13.578	$GPGGA,050114,2427.3815,N,08102.9454,W,1,9,2.9,30,M,,M,,*5B
06/14/2014	05:01:14.610	$GPGGA,050115,2427.3813,N,08102.9458,W,1,8,2.8,30,M,,M,,*50
06/14/2014	05:01:15.593	$GPGGA,050116,2427.3810,N,08102.9465,W,1,8,1.8,30,M,,M,,*5D
06/14/2014	05:01:16.616	$GPGGA,050117,2427.3809,N,08102.9472,W,1,8,2.8,30,M,,M,,*51
06/14/2014	05:01:17.578	$GPGGA,050118,2427.3808,N,08102.9477,W,1,8,2.8,30,M,,M,,*5A
06/14/2014	05:01:18.611	$GPGGA,050119,2427.3805,N,08102.9483,W,1,8,2.8,30,M,,M,,*5D
06/14/2014	05:01:19.604	$GPGGA,050120,2427.3803,N,08102.9488,W,1,8,2.9,30,M,,M,,*5B
06/14/2014	05:01:20.597	$GPGGA,050121,2427.3801,N,08102.9498,W,1,8,2.8,30,M,,M,,*58
06/14/2014	05:01:21.599	$GPGGA,050122,2427.3799,N,08102.9506,W,1,8,1.6,30,M,,M,,*5E
