Cruise# ostrich20`1ostrich2014
Date: 06/07/14

CTD probe# 1
DVL# 2
Oxy Probe# 3
Fluorometer# 4
Irradiance Probe# 5
Flight Selection = Depth Undulate 
 
Time	Pressure (dbar)	Depth (m)	Temp (°C)	Salinity (PPT)	Fluoro (volts)	Oxygen (ml/l)	Irrandiance (UE/cm²)	Horizontal vel in water (m/s)	Vertical vel (m/s)	Vol imaged (m3)	Altitude (m)	Pitch (°)	Roll (°)	Heading (°)	Lat (decimals)	Long (decimals)	Rel Normal Velocity (mm/s)	Trans Velocity (mm/s)	Long. Velocity (mm/s)	Normal Velocity (mm/s)	Wing Fin Angle (°)	Roll Fin Angle (°)
23:20:58.99	0.77	0.76	28.00	36.42	0.03	0.8420	-2.219608E-7	2625.00	147.00	0.00	9999.99	-2.60	-2.46	136.80	24° 41'37.32N	80° 41'55.74W	-68.00	-68.00	2625.00	147.00	-21.39	-21.92
23:20:59.40	0.82	0.82	27.99	36.42	0.03	0.8479	-2.222792E-7	2487.00	114.00	0.00	9999.99	-1.75	-2.33	136.90	24° 41'37.32N	80° 41'55.74W	-102.00	-102.00	2487.00	114.00	-19.99	-3.08
23:20:59.95	0.86	0.85	27.98	36.42	0.03	0.8504	-2.211569E-7	2487.00	114.00	0.00	9999.99	-1.75	-2.33	136.90	24° 41'37.32N	80° 41'55.74W	-102.00	-102.00	2487.00	114.00	-20.00	-3.08
23:21:00.49	0.84	0.84	27.97	36.42	0.03	0.8529	-2.230603E-7	2134.00	213.00	0.00	9999.99	-3.17	-2.75	140.20	24° 41'37.32N	80° 41'55.74W	-76.00	-76.00	2134.00	213.00	-19.98	-3.08
23:21:01.03	0.83	0.82	27.96	36.42	0.03	0.8586	-2.221270E-7	2134.00	213.00	0.00	9999.99	-3.17	-2.75	140.20	24° 41'37.32N	80° 41'55.74W	-76.00	-76.00	2134.00	213.00	-19.99	-3.08
23:21:01.58	0.82	0.82	27.98	36.42	0.03	0.8620	-2.219401E-7	2015.00	147.00	0.00	135.80	-4.07	-2.00	138.70	24° 41'37.32N	80° 41'55.74W	121.00	-226.00	2554.00	268.00	-19.99	-3.07
23:21:02.12	0.82	0.82	27.98	36.42	0.03	0.8598	-2.226319E-7	2015.00	147.00	0.00	135.80	-4.07	-2.00	138.70	24° 41'37.08N	80° 41'55.44W	121.00	-226.00	2554.00	268.00	-19.99	-3.08
23:21:02.67	0.85	0.85	27.99	36.42	0.03	0.8556	-2.221685E-7	2015.00	147.00	0.00	135.80	-4.07	-2.00	138.70	24° 41'37.08N	80° 41'55.44W	121.00	-226.00	2554.00	268.00	-19.99	-3.08
23:21:03.23	0.86	0.85	27.99	36.42	0.03	0.8551	-2.245562E-7	1999.00	234.00	0.00	9999.99	-2.56	-1.18	138.10	24° 41'37.08N	80° 41'55.44W	-383.00	-383.00	1999.00	234.00	-20.00	-3.08
23:21:03.79	0.86	0.85	27.98	36.42	0.03	0.8564	-2.207057E-7	1999.00	234.00	0.00	9999.99	-2.56	-1.18	138.10	24° 41'37.08N	80° 41'55.44W	-383.00	-383.00	1999.00	234.00	-20.00	-3.08
23:21:04.33	0.84	0.84	27.98	36.42	0.03	0.8582	-2.229291E-7	1844.00	331.00	0.00	9999.99	-5.42	-1.56	141.80	24° 41'37.08N	80° 41'55.44W	-186.00	-186.00	1844.00	331.00	-19.99	-3.08
23:21:04.87	0.83	0.82	27.98	36.42	0.03	0.8561	-2.222930E-7	1844.00	331.00	0.00	9999.99	-5.42	-1.56	141.80	24° 41'37.08N	80° 41'55.44W	-186.00	-186.00	1844.00	331.00	-19.99	-3.07
23:21:05.41	0.79	0.79	27.97	36.42	0.03	0.8577	-2.223000E-7	1562.00	118.00	0.00	9999.99	-3.84	0.84	138.60	24° 41'37.08N	80° 41'55.44W	149.00	149.00	1562.00	118.00	-20.00	-3.08
23:21:05.97	0.82	0.81	27.97	36.42	0.03	0.8567	-2.215383E-7	1562.00	118.00	0.00	9999.99	-3.84	0.84	138.60	24° 41'36.90N	80° 41'55.20W	149.00	149.00	1562.00	118.00	-20.00	-3.08
23:21:06.50	0.82	0.81	27.97	36.42	0.03	0.8550	-2.215660E-7	1987.00	53.00	0.00	9999.99	-2.69	-0.91	138.20	24° 41'36.90N	80° 41'55.20W	201.00	201.00	1987.00	53.00	-19.99	-3.08
23:21:07.06	0.80	0.79	27.97	36.42	0.03	0.8526	-2.239502E-7	1987.00	53.00	0.00	9999.99	-2.69	-0.91	138.20	24° 41'36.90N	80° 41'55.20W	201.00	201.00	1987.00	53.00	-20.00	-3.08
23:21:07.60	0.81	0.80	27.97	36.42	0.03	0.8525	-2.228323E-7	1987.00	53.00	0.00	9999.99	-2.69	-0.91	138.20	24° 41'36.90N	80° 41'55.20W	201.00	201.00	1987.00	53.00	-19.99	-3.08
23:21:08.15	0.83	0.82	27.96	36.42	0.03	0.8516	-2.225559E-7	1464.00	23.00	0.00	9999.99	-3.34	-0.87	140.10	24° 41'36.90N	80° 41'55.20W	148.00	148.00	1464.00	23.00	-19.99	-3.08
23:21:08.69	0.80	0.80	27.95	36.42	0.03	0.8514	-2.233709E-7	1464.00	23.00	0.00	9999.99	-3.34	-0.87	140.10	24° 41'36.90N	80° 41'55.20W	148.00	148.00	1464.00	23.00	-20.01	-3.08
23:21:09.23	0.84	0.84	27.95	36.42	0.03	0.8516	-2.239640E-7	1600.00	259.00	0.00	9999.99	-5.96	-1.95	141.60	24° 41'36.90N	80° 41'55.20W	-226.00	-226.00	1600.00	259.00	-19.98	-3.08
23:21:09.76	0.83	0.82	27.92	36.42	0.04	0.8531	-2.216630E-7	1600.00	259.00	0.00	9999.99	-5.96	-1.95	141.60	24° 41'36.66N	80° 41'54.90W	-226.00	-226.00	1600.00	259.00	-19.98	-3.08
23:21:10.30	0.83	0.82	27.92	36.42	0.03	0.8527	-2.224314E-7	1633.00	56.00	0.00	9999.99	-5.40	-1.72	142.40	24° 41'36.66N	80° 41'54.90W	30.00	30.00	1633.00	56.00	-20.00	-3.08
23:21:10.84	0.84	0.83	27.91	36.42	0.04	0.8510	-2.201707E-7	1633.00	56.00	0.00	9999.99	-5.40	-1.72	142.40	24° 41'36.66N	80° 41'54.90W	30.00	30.00	1633.00	56.00	-19.99	-3.08
23:21:11.39	0.87	0.87	27.90	36.42	0.04	0.8518	-2.211708E-7	1633.00	56.00	0.00	9999.99	-5.40	-1.72	142.40	24° 41'36.66N	80° 41'54.90W	30.00	30.00	1633.00	56.00	-19.99	-3.08
23:21:11.94	0.84	0.84	27.90	36.42	0.03	0.8521	-2.229705E-7	2086.00	202.00	0.00	9999.99	-3.31	-0.87	138.40	24° 41'36.66N	80° 41'54.90W	70.00	70.00	2086.00	202.00	-19.99	-3.08
23:21:12.48	0.82	0.81	27.90	36.42	0.03	0.8526	-2.223899E-7	2086.00	202.00	0.00	9999.99	-3.31	-0.87	138.40	24° 41'36.66N	80° 41'54.90W	70.00	70.00	2086.00	202.00	-19.99	-3.08
23:21:13.03	0.77	0.77	27.90	36.42	0.03	0.8548	-2.218985E-7	1708.00	-18.00	0.00	9999.99	-6.09	-3.05	145.60	24° 41'36.66N	80° 41'54.90W	141.00	141.00	1708.00	-18.00	-19.99	-3.08
23:21:13.58	0.74	0.74	27.90	36.42	0.03	0.8563	-2.220301E-7	1708.00	-18.00	0.00	9999.99	-6.09	-3.05	145.60	24° 41'36.66N	80° 41'54.90W	141.00	141.00	1708.00	-18.00	-19.99	-3.08
23:21:14.14	0.75	0.75	27.89	36.42	0.03	0.8573	-2.208585E-7	1899.00	252.00	0.00	9999.99	-2.96	1.03	138.60	24° 41'36.42N	80° 41'54.66W	-164.00	-164.00	1899.00	252.00	-19.99	-3.08
23:21:14.69	0.75	0.75	27.89	36.42	0.03	0.8590	-2.223276E-7	1899.00	252.00	0.00	9999.99	-2.96	1.03	138.60	24° 41'36.42N	80° 41'54.66W	-164.00	-164.00	1899.00	252.00	-19.99	-3.07
23:21:15.24	0.79	0.79	27.89	36.42	0.03	0.8548	-2.229083E-7	2574.00	176.00	0.00	138.70	-3.42	0.07	140.40	24° 41'36.42N	80° 41'54.66W	90.00	-190.00	2554.00	170.00	-20.00	-3.08
23:21:15.78	0.78	0.78	27.90	36.42	0.03	0.8591	-2.216284E-7	2574.00	176.00	0.00	138.70	-3.42	0.07	140.40	24° 41'36.42N	80° 41'54.66W	90.00	-190.00	2554.00	170.00	-19.99	-3.08
23:21:16.33	0.78	0.78	27.94	36.41	0.03	0.8551	-2.232605E-7	1733.00	250.00	0.00	9999.99	-0.59	0.45	138.10	24° 41'36.42N	80° 41'54.66W	-309.00	-309.00	1733.00	250.00	-19.99	-3.07
23:21:16.87	0.74	0.73	27.98	36.41	0.03	0.8544	-2.235917E-7	1733.00	250.00	0.00	9999.99	-0.59	0.45	138.10	24° 41'36.42N	80° 41'54.66W	-309.00	-309.00	1733.00	250.00	-20.00	-3.08
23:21:19.09	0.77	0.77	28.00	36.42	0.03	0.8507	-2.213026E-7	1971.00	-62.00	0.00	9999.99	-2.57	-0.10	140.10	24° 41'36.18N	80° 41'54.42W	286.00	286.00	1971.00	-62.00	-19.65	-3.08
23:21:19.64	0.77	0.77	28.00	36.42	0.03	0.8482	-2.229705E-7	1971.00	-62.00	0.00	9999.99	-2.57	-0.10	140.10	24° 41'36.18N	80° 41'54.42W	286.00	286.00	1971.00	-62.00	-18.55	-3.08
23:21:20.19	0.74	0.73	28.01	36.41	0.03	0.8485	-2.219054E-7	1374.00	-2.00	0.00	9999.99	-3.93	0.10	141.10	24° 41'36.18N	80° 41'54.42W	104.00	104.00	1374.00	-2.00	-17.41	-3.08
23:21:20.75	0.75	0.74	28.01	36.41	0.03	0.8515	-2.228323E-7	1374.00	-2.00	0.00	9999.99	-3.93	0.10	141.10	24° 41'36.18N	80° 41'54.42W	104.00	104.00	1374.00	-2.00	-17.06	-3.08
23:21:21.31	0.79	0.79	28.00	36.41	0.03	0.8570	-2.243910E-7	1374.00	-2.00	0.00	9999.99	-3.93	0.10	141.10	24° 41'36.18N	80° 41'54.42W	104.00	104.00	1374.00	-2.00	-17.04	-3.08
23:21:21.85	0.82	0.82	28.02	36.41	0.04	0.8523	-2.234606E-7	1829.00	-85.00	0.00	9999.99	-2.81	3.55	136.70	24° 41'35.94N	80° 41'54.12W	92.00	92.00	1829.00	-85.00	-17.04	-3.08
23:21:22.39	0.85	0.85	28.04	36.42	0.04	0.8558	-2.225697E-7	1829.00	-85.00	0.00	9999.99	-2.81	3.55	136.70	24° 41'35.94N	80° 41'54.12W	92.00	92.00	1829.00	-85.00	-17.04	-3.08
23:21:22.93	0.88	0.87	28.02	36.41	0.03	0.8577	-2.222585E-7	2047.00	162.00	0.00	9999.99	-7.93	0.56	145.00	24° 41'35.94N	80° 41'54.12W	-241.00	-241.00	2047.00	162.00	-17.04	-3.08
23:21:23.48	0.93	0.93	28.16	36.41	0.03	0.8551	-2.213026E-7	2047.00	162.00	0.00	9999.99	-7.93	0.56	145.00	24° 41'35.94N	80° 41'54.12W	-241.00	-241.00	2047.00	162.00	-17.04	-3.08
23:21:24.00	0.93	0.93	28.16	36.41	0.03	0.8586	-2.205946E-7	1929.00	255.00	0.00	9999.99	-5.81	4.70	139.00	24° 41'35.94N	80° 41'54.12W	-86.00	-86.00	1929.00	255.00	-17.04	-3.08
23:21:24.55	0.98	0.97	28.16	36.41	0.03	0.8532	-2.227632E-7	1929.00	255.00	0.00	9999.99	-5.81	4.70	139.00	24° 41'35.94N	80° 41'54.12W	-86.00	-86.00	1929.00	255.00	-17.04	-3.08
23:21:25.09	1.01	1.00	28.16	36.41	0.03	0.8553	-2.210320E-7	3117.00	89.00	0.00	9999.99	-4.18	3.40	141.40	24° 41'35.94N	80° 41'54.12W	-315.00	-315.00	3117.00	89.00	-17.04	-3.07
23:21:27.32	0.94	0.93	28.16	36.41	0.03	0.8570	-2.212332E-7	1936.00	193.00	0.00	9999.99	-1.92	3.27	139.10	24° 41'35.70N	80° 41'53.88W	30.00	30.00	1936.00	193.00	-16.69	-3.08
23:21:27.86	0.92	0.92	28.14	36.41	0.03	0.8574	-2.232329E-7	2307.00	305.00	0.00	9999.99	-4.56	1.57	142.40	24° 41'35.70N	80° 41'53.88W	-249.00	-249.00	2307.00	305.00	-15.58	-3.07
23:21:28.40	0.92	0.92	28.14	36.41	0.03	0.8530	-2.208585E-7	2307.00	305.00	0.00	9999.99	-4.56	1.57	142.40	24° 41'35.70N	80° 41'53.88W	-249.00	-249.00	2307.00	305.00	-14.48	-3.09
