Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 0	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/01/2014	23:00:00.530	$GPGGA,230001,2445.0490,N,07954.6514,W,1,10,1.5,22,M,,M,,*66
06/01/2014	23:00:01.538	$GPGGA,230002,2445.0493,N,07954.6526,W,1,10,1.5,22,M,,M,,*67
06/01/2014	23:00:02.527	$GPGGA,230003,2445.0495,N,07954.6539,W,1,10,1.5,22,M,,M,,*6E
06/01/2014	23:00:03.546	$GPGGA,230004,2445.0497,N,07954.6550,W,1,10,1.5,22,M,,M,,*64
06/01/2014	23:00:04.554	$GPGGA,230005,2445.0500,N,07954.6562,W,1,10,1.5,22,M,,M,,*6B
06/01/2014	23:00:05.523	$GPGGA,230006,2445.0504,N,07954.6575,W,1,10,1.5,22,M,,M,,*6A
06/01/2014	23:00:06.552	$GPGGA,230007,2445.0507,N,07954.6589,W,1,10,1.5,22,M,,M,,*6B
06/01/2014	23:00:07.531	$GPGGA,230008,2445.0508,N,07954.6600,W,1,10,1.5,22,M,,M,,*69
06/01/2014	23:00:08.640	$GPGGA,230009,2445.0511,N,07954.6613,W,1,10,1.5,22,M,,M,,*62
06/01/2014	23:00:09.628	$GPGGA,230010,2445.0515,N,07954.6626,W,1,10,1.5,22,M,,M,,*68
06/01/2014	23:00:10.636	$GPGGA,230011,2445.0517,N,07954.6640,W,1,10,1.5,22,M,,M,,*6B
06/01/2014	23:00:11.504	$GPGGA,230012,2445.0519,N,07954.6651,W,1,10,1.5,22,M,,M,,*66
06/01/2014	23:00:12.513	$GPGGA,230013,2445.0522,N,07954.6665,W,1,10,1.5,22,M,,M,,*68
06/01/2014	23:00:13.482	$GPGGA,230014,2445.0525,N,07954.6677,W,1,10,1.5,22,M,,M,,*6B
06/01/2014	23:00:14.501	$GPGGA,230015,2445.0526,N,07954.6689,W,1,10,1.5,22,M,,M,,*68
06/01/2014	23:00:15.499	$GPGGA,230016,2445.0529,N,07954.6702,W,1,10,1.5,22,M,,M,,*66
06/01/2014	23:00:16.598	$GPGGA,230017,2445.0533,N,07954.6716,W,1,10,1.5,22,M,,M,,*69
06/01/2014	23:00:17.477	$GPGGA,230018,2445.0536,N,07954.6728,W,1,10,1.5,22,M,,M,,*6E
06/01/2014	23:00:18.575	$GPGGA,230019,2445.0537,N,07954.6741,W,1,10,1.5,22,M,,M,,*61
06/01/2014	23:00:19.484	$GPGGA,230020,2445.0542,N,07954.6753,W,1,10,1.5,22,M,,M,,*6A
06/01/2014	23:00:20.483	$GPGGA,230021,2445.0546,N,07954.6767,W,1,10,1.5,22,M,,M,,*68
06/01/2014	23:00:21.471	$GPGGA,230022,2445.0547,N,07954.6779,W,1,10,1.5,22,M,,M,,*65
06/01/2014	23:00:22.560	$GPGGA,230023,2445.0551,N,07954.6792,W,1,10,1.5,22,M,,M,,*66
06/01/2014	23:00:23.609	$GPGGA,230024,2445.0555,N,07954.6804,W,1,10,1.5,22,M,,M,,*65
06/01/2014	23:00:24.567	$GPGGA,230025,2445.0558,N,07954.6817,W,1,10,1.5,22,M,,M,,*6B
06/01/2014	23:00:25.546	$GPGGA,230026,2445.0561,N,07954.6828,W,1,10,1.5,22,M,,M,,*6E
06/01/2014	23:00:26.565	$GPGGA,230027,2445.0564,N,07954.6842,W,1,10,1.5,22,M,,M,,*66
06/01/2014	23:00:27.563	$GPGGA,230028,2445.0566,N,07954.6853,W,1,10,1.6,22,M,,M,,*68
06/01/2014	23:00:28.531	$GPGGA,230029,2445.0569,N,07954.6864,W,1,10,1.6,22,M,,M,,*62
06/01/2014	23:00:29.520	$GPGGA,230030,2445.0573,N,07954.6876,W,1,10,1.6,22,M,,M,,*62
06/01/2014	23:00:30.629	$GPGGA,230031,2445.0576,N,07954.6889,W,1,10,1.5,22,M,,M,,*65
06/01/2014	23:00:31.627	$GPGGA,230032,2445.0579,N,07954.6902,W,1,10,1.5,22,M,,M,,*6B
06/01/2014	23:00:32.636	$GPGGA,230033,2445.0580,N,07954.6915,W,1,10,1.5,23,M,,M,,*6B
06/01/2014	23:00:33.625	$GPGGA,230034,2445.0583,N,07954.6927,W,1,10,1.6,23,M,,M,,*6D
06/01/2014	23:00:36.102	$GPGGA,230035,2445.0587,N,07954.6938,W,1,10,1.6,23,M,,M,,*66
06/01/2014	23:00:36.121	$GPGGA,230036,2445.0590,N,07954.6951,W,1,10,1.5,23,M,,M,,*6F
06/01/2014	23:00:36.621	$GPGGA,230037,2445.0591,N,07954.6965,W,1,10,1.5,23,M,,M,,*68
06/01/2014	23:00:37.590	$GPGGA,230038,2445.0594,N,07954.6977,W,1,10,1.5,23,M,,M,,*61
06/01/2014	23:00:38.608	$GPGGA,230039,2445.0597,N,07954.6990,W,1,10,1.5,23,M,,M,,*6A
06/01/2014	23:00:39.597	$GPGGA,230040,2445.0600,N,07954.7001,W,1,10,1.6,23,M,,M,,*6A
06/01/2014	23:00:40.596	$GPGGA,230041,2445.0602,N,07954.7013,W,1,10,1.5,23,M,,M,,*69
06/01/2014	23:00:41.574	$GPGGA,230042,2445.0605,N,07954.7024,W,1,10,1.5,23,M,,M,,*69
06/01/2014	23:00:42.573	$GPGGA,230043,2445.0608,N,07954.7037,W,1,10,1.5,23,M,,M,,*67
06/01/2014	23:00:43.582	$GPGGA,230044,2445.0612,N,07954.7048,W,1,10,1.5,23,M,,M,,*63
06/01/2014	23:00:44.590	$GPGGA,230045,2445.0615,N,07954.7060,W,1,10,1.5,23,M,,M,,*6F
06/01/2014	23:00:45.569	$GPGGA,230046,2445.0616,N,07954.7074,W,1,10,1.5,23,M,,M,,*6A
06/01/2014	23:00:46.567	$GPGGA,230047,2445.0619,N,07954.7086,W,1,10,1.5,23,M,,M,,*69
06/01/2014	23:00:47.576	$GPGGA,230048,2445.0623,N,07954.7099,W,1,10,1.5,23,M,,M,,*61
06/01/2014	23:00:48.584	$GPGGA,230049,2445.0625,N,07954.7110,W,1,10,1.6,23,M,,M,,*65
06/01/2014	23:00:49.563	$GPGGA,230050,2445.0624,N,07954.7122,W,1,10,1.5,23,M,,M,,*6E
06/01/2014	23:00:50.542	$GPGGA,230051,2445.0627,N,07954.7135,W,1,10,1.5,23,M,,M,,*6A
06/01/2014	23:00:51.580	$GPGGA,230052,2445.0631,N,07954.7146,W,1,10,1.5,23,M,,M,,*6A
06/01/2014	23:00:52.569	$GPGGA,230053,2445.0634,N,07954.7160,W,1,10,1.5,23,M,,M,,*6A
06/01/2014	23:00:53.538	$GPGGA,230054,2445.0636,N,07954.7172,W,1,10,1.5,23,M,,M,,*6C
06/01/2014	23:00:54.527	$GPGGA,230055,2445.0638,N,07954.7184,W,1,9,1.5,23,M,,M,,*52
06/01/2014	23:00:55.565	$GPGGA,230056,2445.0641,N,07954.7197,W,1,9,1.5,23,M,,M,,*5D
06/01/2014	23:00:56.644	$GPGGA,230057,2445.0643,N,07954.7209,W,1,10,1.5,23,M,,M,,*62
06/01/2014	23:00:57.553	$GPGGA,230058,2445.0645,N,07954.7222,W,1,10,1.5,23,M,,M,,*62
06/01/2014	23:00:58.551	$GPGGA,230059,2445.0648,N,07954.7236,W,1,10,1.5,23,M,,M,,*6B
06/01/2014	23:00:59.551	$GPGGA,230100,2445.0651,N,07954.7248,W,1,10,1.5,23,M,,M,,*67
06/01/2014	23:01:00.549	$GPGGA,230101,2445.0652,N,07954.7262,W,1,10,1.5,23,M,,M,,*6D
06/01/2014	23:01:01.509	$GPGGA,230102,2445.0655,N,07954.7274,W,1,10,1.5,23,M,,M,,*6E
06/01/2014	23:01:02.525	$GPGGA,230103,2445.0658,N,07954.7287,W,1,10,1.5,23,M,,M,,*6E
06/01/2014	23:01:03.524	$GPGGA,230104,2445.0661,N,07954.7301,W,1,10,1.5,23,M,,M,,*6C
06/01/2014	23:01:04.533	$GPGGA,230105,2445.0663,N,07954.7312,W,1,10,1.5,23,M,,M,,*6D
06/01/2014	23:01:05.591	$GPGGA,230106,2445.0666,N,07954.7326,W,1,10,1.5,23,M,,M,,*6C
06/01/2014	23:01:06.620	$GPGGA,230107,2445.0669,N,07954.7337,W,1,9,1.6,23,M,,M,,*59
06/01/2014	23:01:07.499	$GPGGA,230108,2445.0670,N,07954.7352,W,1,9,1.5,23,M,,M,,*5E
06/01/2014	23:01:08.498	$GPGGA,230109,2445.0673,N,07954.7363,W,1,10,1.5,24,M,,M,,*61
06/01/2014	23:01:09.576	$GPGGA,230110,2445.0674,N,07954.7377,W,1,10,1.5,24,M,,M,,*6B
06/01/2014	23:01:10.585	$GPGGA,230111,2445.0677,N,07954.7391,W,1,9,1.5,24,M,,M,,*59
06/01/2014	23:01:11.623	$GPGGA,230112,2445.0680,N,07954.7402,W,1,9,1.5,24,M,,M,,*5F
