transect,start,end
1W-und,2014-05-28 11:05:03,2014-05-28 12:00:00
1W-s,2014-05-28 12:07:48,2014-05-28 13:31:15
1W-m,2014-05-28 16:14:30,2014-05-28 17:34:24
1E-und,2014-05-29 11:26:01,2014-05-29 12:30:28
1E-s,2014-05-29 12:47:50,2014-05-29 13:44:41
1E-m,2014-05-29 16:20:24,2014-05-29 17:18:33
1E-d,2014-05-29 19:01:01,2014-05-29 19:24:49
2C-und,2014-05-30 08:36:47,2014-05-30 10:15:11
2C-s,2014-05-30 10:41:09,2014-05-30 12:19:52
2C-m,2014-05-30 15:49:57,2014-05-30 16:40:15
2C-d,2014-05-30 18:18:40,2014-05-30 19:03:19
2E-und,2014-05-31 07:20:12,2014-05-31 08:52:58
