Cruise# ostrich2015ostrich_2015
Date: 06/22/15

CTD probe# 0164
DVL# 600
Oxy Probe# 431449
Fluorometer# 2611
Irradiance Probe# 5
Flight Selection = Depth Undulate 
 
Time	Pressure (dbar)	Depth (m)	Temp (°C)	Salinity (PPT)	Fluoro (volts)	Oxygen (ml/l)	Irrandiance (UE/cm²)	Horizontal vel in water (m/s)	Vertical vel (m/s)	Vol imaged (m3)	Altitude (m)	Pitch (°)	Roll (°)	Heading (°)	Lat (decimals)	Long (decimals)	Rel Normal Velocity (mm/s)	Trans Velocity (mm/s)	Long. Velocity (mm/s)	Normal Velocity (mm/s)	Wing Fin Angle (°)	Roll Fin Angle (°)
13:21:34.56	15.58	15.48	28.93	36.10	0.03	4.4863	3.428867E-3	2419.00	437.00	0.00	100.50	-8.66	3.01	163.70	24° 24'1.56N	82° 03'9.36W	138.00	-262.00	2547.00	406.00	-26.55	-20.66
13:21:34.97	15.56	15.46	28.93	36.10	0.03	4.4849	4.658570E-3	2419.00	437.00	0.00	100.50	-8.66	3.01	163.70	24° 24'1.56N	82° 03'9.36W	138.00	-262.00	2547.00	406.00	-8.02	0.06
13:21:35.51	15.57	15.47	28.93	36.10	0.03	4.4887	4.058539E-3	2531.00	437.00	0.00	101.90	-9.48	3.30	164.40	24° 24'1.56N	82° 03'9.36W	132.00	-288.00	2491.00	389.00	-8.02	0.06
13:21:36.05	15.57	15.47	28.93	36.10	0.03	4.4891	3.680303E-3	2531.00	437.00	0.00	101.90	-9.48	3.30	164.40	24° 24'1.56N	82° 03'9.36W	132.00	-288.00	2491.00	389.00	-8.02	0.05
13:21:36.59	15.57	15.47	28.93	36.10	0.03	4.4834	3.608924E-3	2929.00	285.00	0.00	101.10	-8.96	2.84	165.10	24° 24'1.26N	82° 03'9.18W	456.00	-199.00	2459.00	401.00	-8.01	0.05
13:21:37.12	15.57	15.47	28.93	36.10	0.03	4.4827	4.478074E-3	2929.00	285.00	0.00	101.10	-8.96	2.84	165.10	24° 24'1.26N	82° 03'9.18W	456.00	-199.00	2459.00	401.00	-8.02	0.05
13:21:37.66	15.55	15.45	28.93	36.10	0.03	4.4804	4.242973E-3	2501.00	346.00	0.00	101.00	-8.59	2.76	164.70	24° 24'1.26N	82° 03'9.18W	293.00	-231.00	2426.00	372.00	-8.02	0.05
13:21:38.21	15.54	15.44	28.93	36.10	0.03	4.4795	3.545580E-3	2501.00	346.00	0.00	101.00	-8.59	2.76	164.70	24° 24'1.26N	82° 03'9.18W	293.00	-231.00	2426.00	372.00	-8.01	0.05
13:21:38.74	15.54	15.44	28.93	36.10	0.03	4.4843	4.569951E-3	2255.00	417.00	0.00	101.50	-8.08	3.31	164.10	24° 24'1.26N	82° 03'9.18W	198.00	-334.00	2583.00	377.00	-8.03	0.05
13:21:39.27	15.52	15.42	28.93	36.10	0.03	4.4579	3.688193E-3	2255.00	417.00	0.00	101.50	-8.08	3.31	164.10	24° 24'1.26N	82° 03'9.18W	198.00	-334.00	2583.00	377.00	-8.02	0.05
13:21:39.80	15.51	15.41	28.93	36.10	0.03	4.4734	4.509235E-3	1991.00	146.00	0.00	101.40	-9.85	3.02	164.30	24° 24'1.26N	82° 03'9.18W	623.00	-251.00	2601.00	438.00	-8.02	0.05
13:21:40.33	15.52	15.42	28.93	36.10	0.03	4.4905	4.342814E-3	1991.00	146.00	0.00	101.40	-9.85	3.02	164.30	24° 24'1.26N	82° 03'9.18W	623.00	-251.00	2601.00	438.00	-8.02	0.06
13:21:40.86	15.54	15.44	28.93	36.10	0.03	4.4905	3.394306E-3	2307.00	415.00	0.00	100.50	-9.51	2.42	165.80	24° 24'0.90N	82° 03'9.06W	77.00	-307.00	2371.00	368.00	-8.02	0.05
13:21:41.40	15.57	15.47	28.93	36.10	0.03	4.4785	3.419842E-3	2307.00	415.00	0.00	100.50	-9.51	2.42	165.80	24° 24'0.90N	82° 03'9.06W	77.00	-307.00	2371.00	368.00	-8.02	0.05
13:21:41.93	15.54	15.44	28.93	36.10	0.03	4.4819	4.396652E-3	2834.00	273.00	0.00	101.50	-8.20	3.33	163.80	24° 24'0.90N	82° 03'9.06W	274.00	-329.00	2573.00	410.00	-8.02	0.06
13:21:42.46	15.54	15.44	28.93	36.10	0.03	4.4928	4.458496E-3	2834.00	273.00	0.00	101.50	-8.20	3.33	163.80	24° 24'0.90N	82° 03'9.06W	274.00	-329.00	2573.00	410.00	-8.01	0.04
13:21:43.00	15.53	15.43	28.93	36.10	0.03	4.4920	3.365633E-3	2918.00	247.00	0.00	102.00	-8.86	2.98	165.20	24° 24'0.90N	82° 03'9.06W	404.00	-243.00	2504.00	393.00	-8.01	0.05
13:21:43.53	15.54	15.44	28.93	36.10	0.03	4.4898	4.252839E-3	2918.00	247.00	0.00	102.00	-8.86	2.98	165.20	24° 24'0.90N	82° 03'9.06W	404.00	-243.00	2504.00	393.00	-8.02	0.05
13:21:44.06	15.54	15.44	28.93	36.10	0.03	4.4787	4.970518E-3	3059.00	299.00	0.00	101.40	-8.38	3.22	164.60	24° 24'0.90N	82° 03'9.06W	96.00	-349.00	2570.00	412.00	-8.02	0.06
13:21:44.59	15.53	15.43	28.93	36.10	0.03	4.4677	4.052460E-3	3059.00	299.00	0.00	101.40	-8.38	3.22	164.60	24° 24'0.60N	82° 03'8.88W	96.00	-349.00	2570.00	412.00	-8.02	0.05
13:21:45.12	15.54	15.45	28.93	36.10	0.03	4.4868	5.520836E-3	1700.00	196.00	0.00	100.90	-10.37	2.88	164.90	24° 24'0.60N	82° 03'8.88W	439.00	-259.00	2474.00	410.00	-8.02	0.05
13:21:45.65	15.57	15.47	28.93	36.10	0.03	4.4895	3.500144E-3	1700.00	196.00	0.00	100.90	-10.37	2.88	164.90	24° 24'0.60N	82° 03'8.88W	439.00	-259.00	2474.00	410.00	-8.02	0.05
13:21:46.18	15.57	15.47	28.93	36.10	0.03	4.4818	4.104186E-3	2817.00	195.00	0.00	101.70	-9.15	3.83	163.40	24° 24'0.60N	82° 03'8.88W	703.00	-234.00	2446.00	379.00	-8.02	0.05
13:21:46.71	15.58	15.48	28.93	36.10	0.03	4.4815	4.222823E-3	2817.00	195.00	0.00	101.70	-9.15	3.83	163.40	24° 24'0.60N	82° 03'8.88W	703.00	-234.00	2446.00	379.00	-8.01	0.05
13:21:47.24	15.58	15.48	28.93	36.10	0.03	4.4926	3.875667E-3	2830.00	303.00	0.00	101.40	-9.04	2.92	164.60	24° 24'0.60N	82° 03'8.88W	184.00	-161.00	2502.00	427.00	-8.02	0.04
