cruise,haulno,transect.id,physicaldatafilename,haul,area,tow,region,,,,,,,,,
OSTRICH 2014,ISIIS-000,OST14-1W-Und,ISIIS201405281105.txt,1,1,und,w,,,,,,,,,
OSTRICH 2014,ISIIS-001,OST14-1W-Und,ISIIS201405281124.txt,1,1,und,w,,,,,,,,,
OSTRICH 2014,ISIIS-002,OST14-1W-S,ISIIS201405281215.txt,2,1,s,w,,,,,,,,,
OSTRICH 2014,ISIIS-003,OST14-1W-M,ISIIS201405281609.txt,3,1,m,w,,,,,,,,,
OSTRICH 2014,ISIIS-004,OST14-1E-Und,ISIIS201405291126.txt,4,1,und,e,,,,,,,,,
OSTRICH 2014,ISIIS-005,OST14-1E-S,ISIIS201405291242.txt,5,1,s,e,,,,,,,,,
OSTRICH 2014,ISIIS-006,OST14-1E-M,ISIIS201405291618.txt,6,1,m,e,,,,,,,,,
OSTRICH 2014,ISIIS-007,OST14-1E-D,ISIIS201405291901.txt,7,1,d,e,,,,,,,,,
OSTRICH 2014,ISIIS-008,OST14-2C-Und,ISIIS201405300836.txt,8,2,und,c,,,,,,,,,
OSTRICH 2014,ISIIS-009,OST14-2C-S,ISIIS201405301041.txt,9,2,s,c,,,,,,,,,
OSTRICH 2014,ISIIS-010,OST14-2C-M,ISIIS201405301549.txt,10,2,m,c,,,,,,,,,
OSTRICH 2014,ISIIS-011,OST14-2C-D,ISIIS201405301813.txt,11,2,d,c,,,,,,,,,
OSTRICH 2014,ISIIS-012,OST14-2E-Und,ISIIS201405310720.txt,12,2,und,e,,,,,,,,,
OSTRICH 2014,ISIIS-013,OST14-2E-D,ISIIS201405310921.txt,13,2,d,e,,,,,,,,,
OSTRICH 2014,ISIIS-014,OST14-2E-M,ISIIS201405311354.txt,14,2,m,e,,,,,,,,,
OSTRICH 2014,ISIIS-015,OST14-2E-S,ISIIS201405311801.txt,15,2,s,e,,,,,,,,,
OSTRICH 2014,ISIIS-016,OST14-3C-Und,ISIIS201406010647.txt,16,3,und,c,,,,,,,,,
OSTRICH 2014,ISIIS-017,OST14-3CM,ISIIS201406010852.txt,17,3,m,c,,,,,,,,,
OSTRICH 2014,ISIIS-018,OST14-3C-D,ISIIS201406011310.txt,18,3,d,c,,,,,,,,,
OSTRICH 2014,ISIIS-019,OST14-3C-S,ISIIS201406011716.txt,19,3,s,c,,,,,,,,,
OSTRICH 2014,ISIIS-020,OST14-4W-Und,ISIIS201406020727.txt,20,4,und,w,,,,,,,,,
OSTRICH 2014,ISIIS-021,OST14-4W-D,ISIIS201406020921.txt,21,4,d,w,,,,,,,,,
OSTRICH 2014,ISIIS-022,OST14-4W-S,ISIIS201406021325.txt,22,4,s,w,,,,,,,,,
OSTRICH 2014,ISIIS-023,OST14-4W-M,ISIIS201406021736.txt,23,4,n,w,,,,,,,,,
OSTRICH 2014,ISIIS-024,OST14-3W-Und,ISIIS201406040642.txt,24,3,und,w,,,,,,,,,
OSTRICH 2014,ISIIS-025,OST14-3W-M,ISIIS201406040757.txt,25,3,m,w,,,,,,,,,
OSTRICH 2014,ISIIS-026,OST14-3W-D,ISIIS201406041306.txt,26,3,d,w,,,,,,,,,
OSTRICH 2014,ISIIS-027,OST14 3W-S,ISIIS201406041640.txt,27,3,s,w,,,,,,,,,
OSTRICH 2014,ISIIS-028,OST14-5W-Und,ISIIS201406050943.txt,28,5,und,w,,,,,,,,,
OSTRICH 2014,ISIIS-029,OST14-5W-D,ISIIS201406051105.txt,29,5,d,w,,,,,,,,,
OSTRICH 2014,ISIIS-030,OST14-5W-S,ISIIS201406051436.txt,30,5,s,w,,,,,,,,,
OSTRICH 2014,ISIIS-031,OST14-5W-M,ISIIS201406051738.txt,31,5,m,w,,,,,,,,,
OSTRICH 2014,ISIIS-032,OST14-L1-Und,isiis201406061142.txt,32,L1,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-033,OST14-L1-S,ISIIS201406061320.txt,33,L1,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-034,OST14-L2-Und,ISIIS201406061704.txt,34,L2,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-035,OST14-L2-S,ISIIS201406061829.txt,35,L2,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-036,OST14-L3-Und,ISIIS201406062305.txt,36,L3,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-037,OST14-L3S,ISIIS201406070028.txt,37,L3,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-038,OST14-L4-Und,ISIIS201406070503.txt,38,L4,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-039,OST14-L4-S,ISIIS201406060622.txt,39,L4,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-040,OST14-L5-Und,ISIIS201406071121.txt,40,L5,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-041,OST14-L5-S,ISIIS201406071244.txt,41,L5,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-042,OST14-L6-Und,ISIIS201406071710.txt,42,L6,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-043,OST14-L6-S,ISIIS201406071830.txt,43,L6,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-044,OST14-L7-Und,ISIIS201406072320.txt,44,L7,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-045,OST14-L7-S,ISIIS201406080056.txt,45,L7,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-046,OST14-L8-Und,ISIIS201406080501.txt,46,L8,und,sof,,,,,,,,,
